x,y,z,Ex,Ey,Ez
0.000000e+00,-2.000000e+00,-2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,-2.000000e+00,2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,2.000000e+00,-2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,2.000000e+00,2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.390000e+00,-2.000000e+00,-2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.390000e+00,-2.000000e+00,2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.390000e+00,2.000000e+00,-2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.390000e+00,2.000000e+00,2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
5.400000e+00,-2.000000e+00,-2.000000e+00,0.000000e+00,2.000000e+04,0.000000e+00
5.400000e+00,-2.000000e+00,2.000000e+00,0.000000e+00,2.000000e+04,0.000000e+00
5.400000e+00,2.000000e+00,-2.000000e+00,0.000000e+00,2.000000e+04,0.000000e+00
5.400000e+00,2.000000e+00,2.000000e+00,0.000000e+00,2.000000e+04,0.000000e+00
7.200000e+00,-2.000000e+00,-2.000000e+00,0.000000e+00,2.000000e+04,0.000000e+00
7.200000e+00,-2.000000e+00,2.000000e+00,0.000000e+00,2.000000e+04,0.000000e+00
7.200000e+00,2.000000e+00,-2.000000e+00,0.000000e+00,2.000000e+04,0.000000e+00
7.200000e+00,2.000000e+00,2.000000e+00,0.000000e+00,2.000000e+04,0.000000e+00
7.210000e+00,-2.000000e+00,-2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.210000e+00,-2.000000e+00,2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.210000e+00,2.000000e+00,-2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.210000e+00,2.000000e+00,2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000000e+01,-2.000000e+00,-2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000000e+01,-2.000000e+00,2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000000e+01,2.000000e+00,-2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000000e+01,2.000000e+00,2.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
