x_m,n_gas_m3
0.11,1.04E+19
0.32,9.74E+18
0.53,9.12E+18
0.74,8.44E+18
0.95,7.52E+18
1.16,7.15E+18
1.37,7.22E+18
1.58,7.62E+18
1.79,8.56E+18
1.95,1.24E+19
2.05,2.00E+19
2.15,2.70E+19
2.25,3.36E+19
2.35,4.01E+19
2.45,4.65E+19
2.55,5.31E+19
2.65,5.99E+19
2.75,6.68E+19
2.85,7.37E+19
2.95,8.08E+19
3.05,8.86E+19
3.15,9.67E+19
3.25,1.06E+20
3.35,1.21E+20
3.45,1.20E+20
3.55,1.06E+20
3.65,9.63E+19
3.75,8.81E+19
3.85,8.06E+19
3.95,7.34E+19
4.05,6.64E+19
4.15,5.98E+19
4.25,5.33E+19
4.35,4.67E+19
4.45,4.02E+19
4.55,3.36E+19
4.65,2.69E+19
4.75,2.00E+19
4.85,1.24E+19
5.03,7.71E+18
5.28,7.20E+18
5.51,8.75E+18
5.74,9.36E+18
5.96,8.91E+18
6.19,8.01E+18
6.41,6.84E+18
6.64,5.49E+18
6.86,3.99E+18
7.09,2.46E+18
7.46,1.07E+18
7.99,8.07E+17
8.52,6.55E+17
9.05,5.79E+17
9.58,5.49E+17
10.1,5.83E+17
10.44,7.10E+17
10.59,7.39E+17
11.18,6.87E+17
12.22,7.35E+17
13.26,7.26E+17
14.3,7.51E+17
15.34,7.38E+17
16.38,7.35E+17
17.41,7.36E+17
18.45,7.25E+17
19.1,6.90E+17
19.35,6.78E+17
19.61,6.79E+17
19.87,6.76E+17
20.12,6.51E+17
20.38,6.21E+17
20.63,6.11E+17
20.89,5.88E+17
21.15,5.92E+17
21.4,5.49E+17
21.66,5.32E+17
21.91,5.24E+17
22.17,4.48E+17
22.42,4.43E+17
22.68,5.56E+17
22.94,5.78E+17
23.19,5.49E+17
23.45,5.19E+17
23.7,4.97E+17
23.96,4.59E+17
24.22,4.26E+17
24.47,4.26E+17
24.73,3.83E+17
24.98,3.54E+17
25.24,3.07E+17
25.49,2.77E+17
25.75,2.48E+17
26.01,2.02E+17
